rsm_min,rvol_min,psth_fast,psth_slow,sl_atr_mult,tp1_atr_mult,tp2_atr_mult,be_after_days,n_trades,win_rate,total_ret,avg_win,avg_loss,max_dd,sharpe,calmar,pf,total_pnl
75,2.0,3,7,1.0,2,4,3,159,55.3,97.63,10.44,-2.83,-3.21,0.43,30.433,4.522,97628.56
75,2.0,3,7,1.0,2,5,3,159,54.7,99.91,10.79,-2.79,-3.21,0.425,31.144,4.6,99908.65
75,2.0,3,7,1.0,3,4,3,159,54.1,102.09,11.21,-3.06,-3.21,0.42,31.823,4.384,102086.66
75,2.0,3,7,1.0,3,5,3,159,54.1,104.37,11.44,-3.06,-3.21,0.416,32.534,4.46,104366.75
75,1.5,3,7,1.0,2,4,3,217,49.8,104.05,9.84,-2.5,-4.68,0.378,22.226,3.602,104050.46
75,1.5,3,7,1.0,2,5,3,217,49.3,106.38,10.13,-2.48,-4.68,0.375,22.722,3.658,106375.44
75,1.5,3,7,1.0,3,4,3,217,48.4,109.05,10.61,-2.65,-4.68,0.37,23.293,3.561,109046.43
75,1.5,3,7,1.0,3,5,3,217,48.4,111.37,10.81,-2.65,-4.68,0.367,23.79,3.615,111371.41
70,2.0,3,7,1.0,2,4,3,220,48.6,99.68,9.39,-2.7,-3.82,0.337,26.099,3.134,99679.64
70,2.0,3,7,1.0,2,5,3,220,48.2,102.72,9.7,-2.68,-3.82,0.336,26.895,3.198,102718.86
70,2.0,3,7,1.0,3,4,3,220,47.3,104.97,10.15,-2.84,-4.05,0.331,25.926,3.121,104971.29
70,2.0,3,7,1.0,3,5,3,220,47.3,108.01,10.37,-2.84,-4.05,0.331,26.677,3.182,108010.51
65,2.0,3,7,1.0,2,4,3,241,48.1,106.52,9.09,-2.62,-3.82,0.329,27.89,3.103,106522.58
65,2.0,3,7,1.0,2,5,3,241,47.7,109.41,9.36,-2.6,-3.82,0.328,28.646,3.159,109409.69
65,2.0,3,7,1.0,3,4,3,241,46.9,112.71,9.81,-2.75,-4.05,0.325,27.838,3.109,112712.65
65,2.0,3,7,1.0,3,5,3,241,46.9,115.6,10.01,-2.75,-4.31,0.324,26.799,3.163,115599.77
70,1.5,3,7,1.0,2,4,3,321,43.3,111.67,8.75,-2.35,-4.81,0.292,23.205,2.624,111668.2
70,1.5,3,7,1.0,2,5,3,321,43.0,114.92,8.99,-2.34,-4.81,0.291,23.879,2.671,114915.43
70,1.5,3,7,1.0,3,4,3,321,42.1,118.52,9.47,-2.44,-5.04,0.289,23.507,2.653,118518.12
70,1.5,3,7,1.0,3,5,3,321,42.1,121.77,9.65,-2.44,-5.04,0.289,24.151,2.698,121765.35
65,1.5,3,7,1.0,2,4,3,350,43.4,119.04,8.4,-2.3,-4.41,0.287,26.975,2.594,119041.41
65,1.5,3,7,1.0,2,5,3,350,43.1,122.14,8.62,-2.29,-4.41,0.286,27.676,2.635,122136.54
65,1.5,3,7,1.0,3,4,3,350,42.3,126.75,9.06,-2.39,-4.64,0.285,27.301,2.633,126746.67
65,1.5,3,7,1.0,3,5,3,350,42.3,129.84,9.23,-2.39,-4.86,0.284,26.696,2.673,129841.81
